Kezdes;Nev;AdasDb
360;AóLaci;2
361;AóBandi;3
361;AóGyuri;2
363;AóTomi;4
367;AóBandi;2
367;AóZsombor;1
368;AóPeti;1
368;AóJózsi;4
368;AóCsabi;1
370;AóSanyi;3
371;AóZoli;1
371;AóJózsi;2
373;AóJani;1
377;AóBandi;1
380;AóBandi;2
380;AóLaci;2
381;AóPityu;1
385;AóBandi;1
387;AóGabi;1
390;AóJózsi;2
392;AóPityu;2
392;AóGabi;2
393;AóTomi;2
395;AóSanyi;1
395;AóTibi;3
396;AóZsombor;1
398;AóJózsi;3
398;AóTibi;1
400;AóJani;1
402;AóPeti;3
402;AóJózsi;5
403;AóZsombor;1
406;AóImi;3
407;AóBandi;4
408;AóGyuri;3
409;AóPeti;4
410;AóJózsi;1
411;AóBandi;1
413;AóImi;3
415;AóPeti;2
418;AóCsabi;1
421;AóFeri;2
421;AóLali;1
424;AóFeri;3
425;AóGabi;4
426;AóJani;2
427;AóTomi;3
427;AóBandi;4
430;AóImi;1
430;AóZoli;1
430;AóCsabi;3
432;AóBandi;3
436;AóGabi;1
436;AóFeri;1
439;AóJani;2
439;AóJózsi;2
440;AóGyuri;2
440;AóJózsi;3
442;AóBandi;3
443;AóZoli;1
444;AóGabi;3
445;AóZoli;5
447;AóLaci;2
448;AóTibi;1
452;AóZsolti;1
453;AóPeti;3
454;AóZsombor;1
456;AóZsombor;4
457;AóPityu;3
457;AóZoli;1
458;AóZsolti;4
458;AóLaci;2
459;AóPityu;4
459;AóGyuri;2
460;AóBandi;1
460;AóLaci;3
463;AóGabi;5
465;AóGyuri;4
467;AóJózsi;1
468;AóFeri;1
468;AóBandi;1
469;AóTomi;1
470;AóPeti;2
470;AóCsabi;1
470;AóGyuri;3
472;AóZsolti;4
473;AóSanyi;1
475;AóJani;4
476;AóPeti;2
476;AóTomi;2
476;AóTibi;4
478;AóSanyi;1
478;AóTomi;3
484;AóSanyi;3
484;AóJani;4
484;AóZsombor;4
484;AóLali;3
486;AóGyuszi;2
486;AóGyuszi;1
486;AóTibi;1
489;AóBandi;4
489;AóPityu;2
489;AóSanyi;3
489;AóGabi;1
490;AóCsabi;3
490;AóLali;2
492;AóPityu;3
492;AóTomi;1
493;AóImi;3
493;AóSanyi;2
493;AóBandi;2
494;AóLali;2
496;AóTomi;1
499;AóJózsi;3
500;AóSanyi;1
502;AóCsabi;1
503;AóFeri;1
503;AóJani;2
505;AóGyuri;2
505;AóImi;1
507;AóImi;1
507;AóPityu;4
507;AóSanyi;4
508;AóFeri;2
508;AóTomi;4
508;AóJani;2
511;AóZsombor;3
512;AóLali;2
513;AóSanyi;1
513;AóTomi;2
513;AóLaci;3
514;AóJózsi;3
519;AóGyuri;2
523;AóTomi;1
524;AóZoli;3
524;AóCsabi;2
525;AóZoli;3
526;AóBandi;1
526;AóGabi;3
527;AóImi;3
528;AóZsolti;3
530;AóJózsi;2
530;AóBandi;4
534;AóZsolti;4
543;AóBandi;1
544;AóBandi;2
545;AóLali;3
546;AóFeri;2
546;AóJózsi;1
546;AóZsombor;1
547;AóLali;4
550;AóZoli;3
551;AóGyuri;4
551;AóImi;3
553;AóImi;2
556;AóZsombor;2
557;AóJózsi;1
560;AóPeti;2
561;AóLaci;1
562;AóGyuri;3
567;AóFeri;3
568;AóLali;1
568;AóFeri;4
569;AóGabi;1
570;AóZoli;2
571;AóLali;2
572;AóGyuszi;4
574;AóGabi;1
574;AóPityu;2
576;AóGabi;4
578;AóJózsi;4
579;AóJózsi;2
584;AóGabi;1
586;AóSanyi;2
586;AóBandi;3
588;AóFeri;1
588;AóImi;3
589;AóPeti;1
593;AóCsabi;2
593;AóSanyi;1
595;AóLali;1
595;AóSanyi;2
595;AóLali;1
595;AóSanyi;4
596;AóFeri;3
597;AóBandi;2
598;AóZsombor;4
598;AóBandi;2
599;AóTomi;2
602;AóFeri;3
602;AóGyuri;4
602;AóTomi;2
603;AóTomi;1
604;AóJani;1
606;AóPeti;4
606;AóGabi;3
606;AóTibi;3
606;AóPeti;4
607;AóJózsi;2
607;AóGyuszi;3
608;AóJani;1
608;AóSanyi;2
608;AóZsolti;2
611;AóZsolti;4
612;AóGyuszi;2
613;AóPeti;1
613;AóSanyi;2
613;AóZsombor;2
614;AóSanyi;2
615;AóZoli;1
616;AóTomi;2
618;AóGyuszi;3
618;AóCsabi;3
619;AóCsabi;3
621;AóCsabi;1
622;AóCsabi;1
624;AóPeti;2
625;AóSanyi;4
626;AóPityu;2
626;AóZsolti;3
626;AóGabi;1
632;AóGabi;4
632;AóZsolti;2
633;AóGabi;3
633;AóTibi;2
633;AóFeri;3
633;AóCsabi;2
634;AóLaci;3
634;AóGyuri;2
639;AóLaci;3
639;AóSanyi;1
641;AóZsolti;2
641;AóCsabi;1
641;AóZsombor;2
641;AóLali;3
642;AóZoli;4
644;AóSanyi;3
645;AóJani;4
645;AóGyuszi;2
646;AóZsombor;4
651;AóPeti;4
651;AóImi;2
652;AóGabi;3
653;AóImi;2
653;AóGabi;2
655;AóPityu;3
658;AóCsabi;1
658;AóGabi;1
663;AóSanyi;1
663;AóJózsi;2
665;AóLali;3
666;AóTomi;4
666;AóLali;4
670;AóFeri;2
670;AóTibi;2
670;AóLaci;1
670;AóPeti;2
671;AóLali;4
673;AóTomi;2
675;AóTomi;3
675;AóSanyi;4
677;AóCsabi;3
678;AóImi;2
678;AóTomi;3
679;AóZoli;1
680;AóSanyi;1
680;AóGyuri;4
683;AóFeri;1
683;AóZoli;3
684;AóLaci;4
684;AóPeti;3
685;AóBandi;3
685;AóZsombor;4
685;AóZoli;2
687;AóJani;1
687;AóCsabi;3
688;AóTomi;1
688;AóPityu;2
694;AóLali;3
695;AóJani;1
697;AóSanyi;2
697;AóLaci;1
698;AóCsabi;4
702;AóSanyi;2
706;AóFeri;1
706;AóJani;1
707;AóSanyi;2
708;AóZsolti;3
711;AóTibi;2
711;AóGabi;4
714;AóPityu;2
716;AóSanyi;3
717;AóGyuszi;1
717;AóLali;1
717;AóGyuri;1
717;AóSanyi;4
718;AóTibi;2
718;AóCsabi;2
722;AóZoli;3
723;AóCsabi;3
724;AóPityu;2
725;AóJózsi;2
727;AóCsabi;2
727;AóZsolti;1
728;AóImi;1
732;AóGyuszi;3
732;AóLali;3
733;AóGabi;4
733;AóPityu;3
733;AóTomi;3
733;AóLaci;1
734;AóTibi;2
734;AóGyuri;4
737;AóGabi;2
737;AóFeri;4
738;AóZoli;3
738;AóZsombor;1
739;AóGyuri;2
745;AóGyuri;1
745;AóZoli;4
749;AóGyuszi;2
750;AóTomi;3
750;AóLaci;4
751;AóImi;3
752;AóFeri;3
754;AóLali;1
754;AóZoli;1
755;AóTibi;1
756;AóImi;4
757;AóFeri;2
757;AóJani;2
759;AóLali;1
760;AóTomi;3
760;AóTomi;1
761;AóJani;4
761;AóLali;3
762;AóSanyi;1
765;AóCsabi;2
768;AóZoli;1
768;AóJózsi;4
772;AóImi;2
773;AóTomi;1
776;AóLali;2
778;AóBandi;2
779;AóLaci;2
781;AóJani;4
781;AóGabi;1
781;AóLali;3
784;AóSanyi;2
785;AóFeri;4
785;AóPeti;1
790;AóGyuri;2
791;AóSanyi;3
795;AóTomi;1
795;AóFeri;1
797;AóBandi;1
799;AóZoli;1
800;AóCsabi;4
801;AóGyuszi;1
802;AóZoli;3
803;AóBandi;1
803;AóBandi;3
804;AóTibi;3
804;AóJani;2
806;AóGabi;3
806;AóGyuszi;4
807;AóZsombor;2
807;AóImi;3
813;AóGabi;4
813;AóFeri;1
813;AóZsolti;3
814;AóPityu;2
814;AóLali;1
815;AóGabi;3
817;AóZsombor;1
818;AóBandi;3
824;AóJani;3
827;AóPeti;2
835;AóTibi;2
835;AóCsabi;3
837;AóGyuri;1
